Opportunity Name,Sponsoring Organization/Funder,Funding/Salary/Benefit,Summary,Application Deadline,Target Sector/Beneficiaries,Eligibility,Geographic Focus,Consortium/Partnership Notes,Source Link,End Summary,Status,Date Added,Track (AI),Track (Editor),Notes
Gender Equality Reporting Grant,Pulitzer Center,Project-based grant; covers reporting and travel.,"Supports journalism on gender rights, women’s empowerment, and intersectional inequality.",Rolling,Journalists focusing on gender equality and women’s rights.,Social justice/Investigative journalism,Global,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/gender-equality-grant,Promotes reporting on systemic gender disparities.,Awaiting Review,14/11/2025 4:43pm,Evidence,,
Democracy Reporting Grant,Pulitzer Center,Project-based funding; amount varies.,"Funds stories exploring threats to democracy, authoritarianism, and civic participation.",Rolling,"Journalists covering governance, corruption, and democracy issues.",Political/Investigative journalism,Global,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/threats-democracy-us,Promotes watchdog journalism protecting democratic institutions.,Awaiting Review,14/11/2025 4:43pm,Evidence,,
Ocean and Fisheries Reporting Grant,Pulitzer Center,Varies by project; covers reporting expenses.,"Funds stories examining ocean sustainability, illegal fishing, marine conservation, and community livelihoods.",Rolling,Journalists or media outlets focusing on ocean or environmental issues.,Environmental/Investigative journalism,Global (coastal and marine regions),Partnerships with scientists welcome.,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/ocean-and-fisheries-reporting,Supports solutions-oriented ocean and fisheries coverage.,Awaiting Review,14/11/2025 4:43pm,Evidence,,
Climate and Labor Reporting Grant,Pulitzer Center,Variable project support; includes travel and research.,"Explores how climate change affects workers, industries, and labor conditions globally.",Rolling,Individual journalists or newsroom teams.,Investigative/Climate journalism,Global,NA,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/our-work-environment-grants,Highlights worker stories amid climate transition.,Awaiting Review,14/11/2025 4:43pm,Evidence,,
Media Literacy Call 2026,Creative Europe Desk Ireland / European Education and Culture Executive Agency,"Up to €500,000 per project.","Supports cross-border projects that develop media literacy tools, platforms, and services; includes service and product design to enhance media understanding, participation, and resilience.",11 March 2026 (4 PM Irish Time),"Consortia of at least three organisations from three different Creative Europe countries (media orgs, tech companies, NGOs, universities, etc.).",Media literacy tools/platform/service development.,Europe (Creative Europe participating countries).,Consortium of 3+ organisations from 3 different countries required.,https://www.creativeeuropeireland.eu/funding-opportunities/call/media-literacy,Ideal for those developing tools or services to improve media literacy and responsible media consumption across Europe.,Awaiting Review,14/11/2025 4:46pm,Evidence,,
AI Reporting Grants,Pulitzer Center,Varies by project,"Open, rolling grants for independent or newsroom journalists reporting on artificial intelligence and its real-world consequences. Encourages stories that address algorithmic discrimination, surveillance, and policy implications.",Rolling,Open to journalists globally. Preference for underreported topics and cross-border collaboration.,Journalists,Global,Encouraged but not required,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/ai-reporting-grants,Flexible funding for in-depth reporting on the real-life impacts of AI.,Awaiting Review,17/11/2025 3:23am,Evidence,,
Journalism & Digital Media Internship,ISEA Internships / Leading media platform in Cambodia,Compensation negotiable; potential for full-time role after internship,"Provides practical experience in journalism and digital media including business news reporting, editorial support, content production, and social media engagement in a professional newsroom setting.",Information Not Available,"High school diploma minimum; university students/graduates in journalism, communications or media preferred; interest in business/investment news required.","Media and journalism students, early-career reporters","Phnom Penh, Cambodia",Individual placement; no consortium or partnership required,https://internshipsea.com/internship/journalism-digital-media-internship/,Combines editorial experience and digital skills development within a newsroom environment in Cambodia.,Awaiting Review,27/11/2025 9:14pm,Evidence,,
Internship at KAS Media Programme Asia,KAS Media Programme Asia (Konrad Adenauer Stiftung),"Unpaid; offers professional experience, networking, and portfolio-building opportunities","Provides practical experience in journalism, media development, research, event coordination, social media management, and alumni relations at a regional office of an international NGO focused on media and politics.",Information Not Available,"Bachelor's or master’s degree; interest in journalism; strong English proficiency; MS Office, Photoshop, and video-editing skills; knowledge of Asian languages/German a plus; must be eligible for Working Holiday Pass if applying from abroad (remote internships not permitted).","Journalism and media students, early-career professionals",Asia-Pacific (Singapore office or regional),Individual internship; no consortium or partnership required,https://kas-media.asia/internship/?utm_source=chatgpt.com,Hands-on experience within an international NGO focused on media and political communication in Asia-Pacific.,Awaiting Review,27/11/2025 11:26pm,Evidence,,
AI Reporting Grants,Pulitzer Center,"Covers hard reporting costs (e.g., travel, data); does not fund salaries or equipment","Supports journalism projects investigating artificial intelligence and surveillance technologies—how they are designed, deployed, and their impact on communities and societies globally.",Rolling (No deadline),Freelance and staff journalists from anywhere in the world. Open to journalists of all backgrounds and nationalities.,"Journalists, newsroom teams, data/investigative reporters focusing on AI and surveillance systems",Global,Individual and team applications welcome; cross-disciplinary collaborations encouraged,https://pulitzercenter.org/grants-fellowships/opportunities-journalists/ai-reporting-grants,Ongoing global grant for investigative journalism on AI and surveillance technologies and their societal impacts.,Awaiting Review,1/12/2025 9:53 PM,Evidence,,
George Weidenfeld Journalism Fellowship Program,International Journalists’ Programmes (IJP),"€3,800 stipend","An exchange fellowship for British and German journalists, involving an 8-week placement in each other's countries, with conferences and reporting for their home media outlets.",2026-06-16,"British or German journalists aged 18–40, working as freelancers, trainees or staff journalists. Fluency in both English and German required. Must obtain leave for full 8-week placement duration.","Journalists in print, radio, TV, or online media",Germany and United Kingdom,Not required,https://gfmd.info/fundings/george-weidenfeld-journalism-fellowship-program/,Fosters cross-cultural newsroom experience and journalistic collaboration between the UK and Germany.,Awaiting Review,8/12/2025 7:25 PM,Evidence,,
